id,category,name,purpose,description,target,needs_accessory,firmware,real_use_score,difficulty,legality,status,prereq_consumable,time_to_value,kb_ref
UC-01,IR,Universal IR remote,Control any IR device,"One remote for TVs, ACs, projectors, audio via built-in/universal DBs",Hardware,None,OFW,9,Easy,Low,Ready,None,Instant,capabilities/infrared.md
UC-02,IR,Learn & save a remote,Replace a lost/extra remote,Capture each button of a real remote and re-emit it,Hardware,None,OFW,8,Easy,Low,Ready,None,Quick,capabilities/infrared.md
UC-03,IR,TV-B-Gone power-off,Turn off nearby TVs,Brute common power codes; mostly a prank/novelty,Hardware,None,OFW,3,Easy,Medium,Ready,None,Instant,capabilities/infrared.md
UC-04,SubGHz,Capture/replay fixed-code remote,Duplicate your own gate/garage/doorbell,Record and retransmit fixed (non-rolling) Sub-GHz remotes,Hardware,None,OFW,7,Easy,Medium,Ready,None,Quick,capabilities/sub-ghz.md
UC-05,SubGHz,Frequency analyzer / RF survey,Find a transmitter's frequency,Detect active Sub-GHz frequency + protocol of a nearby device,Hardware,None,OFW,6,Easy,Low,Ready,None,Instant,capabilities/sub-ghz.md
UC-06,SubGHz,Read RAW unknown signal,Capture an undecoded waveform,Record raw timing to replay when protocol is unknown,Hardware,None,OFW,5,Easy,Low,Ready,None,Quick,capabilities/sub-ghz.md
UC-07,SubGHz,Fixed-code brute-force,Open small fixed-code systems,"Sweep a small fixed code space (de Bruijn); slow, old systems only",Hardware,None,CFW,3,Medium,High,Ready,None,Setup,capabilities/sub-ghz.md
UC-08,SubGHz,Weather-station read,Read your outdoor sensors,Decode 433/868 weather sensor telemetry,Hardware,None,OFW,4,Easy,Low,Ready,None,Quick,capabilities/sub-ghz.md
UC-09,SubGHz,TPMS read,Read tire-pressure sensors,Decode TPMS sensor IDs/pressure,Hardware,None,CFW,4,Medium,Low,Ready,None,Quick,capabilities/sub-ghz.md
UC-10,SubGHz,POCSAG pager decode,Read POCSAG pages,Decode unencrypted pager traffic,Hardware,None,CFW,3,Medium,Medium,Ready,None,Quick,capabilities/sub-ghz.md
UC-11,SubGHz,Tesla charge-port opener,Open your own Tesla charge port,Sends the 315/433 charge-port-open burst,Hardware,None,CFW,4,Easy,Low,Ready,None,Instant,capabilities/sub-ghz.md
UC-12,SubGHz,433 alarm/PIR/door sensor monitor,Inspect your own alarm sensors,Capture/inspect 433 contact/PIR sensor signals,Hardware,None,CFW,4,Medium,Medium,Ready,None,Quick,capabilities/sub-ghz.md
UC-13,SubGHz,Long-range 433 capture/replay,Work 433 gear at distance,External CC1101 + SMA antenna extends range to ~70-150m,Hardware,CC1101-433,CFW,6,Medium,Medium,Ready,None,Quick,my-setup.md
UC-14,SubGHz,Range-test own 433 gear,Measure real remote range,Test how far your own remotes reach with the external board,Hardware,CC1101-433,CFW,6,Easy,Low,Ready,None,Quick,my-setup.md
UC-15,RFID-LF,LF fob read/emulate/clone,Carry your 125kHz fobs on the Flipper,"Read EM4100/HID/Indala, emulate, write to T5577 blank",Hardware,T5577-blank,OFW,8,Easy,Medium,Ready,T5577 blank,Quick,capabilities/nfc-rfid.md
UC-16,NFC-HF,MIFARE Classic read/crack/clone,Duplicate your own MIFARE cards,"Recover Crypto1 keys (dict/nested/mfkey), dump, emulate/clone",Hardware,None,CFW,7,Medium,Medium,Ready,None,Setup,capabilities/nfc-rfid.md
UC-17,NFC-HF,NTAG/Ultralight read & emulate,Back up/emulate simple NFC tags,Read and emulate NTAG21x/Ultralight,Hardware,None,OFW,6,Easy,Low,Ready,None,Instant,capabilities/nfc-rfid.md
UC-18,NFC-HF,Magic-card full clone,Make a 1:1 card copy,Write UID/block-0 to a magic card for a full clone,Hardware,Magic-card,CFW,5,Medium,Medium,Ready,Magic card,Quick,capabilities/nfc-rfid.md
UC-19,NFC-HF,NDEF tag writing,Program useful NFC tags,"Write URLs, Wi-Fi join, vCard, shortcuts to blank NTAGs",Hardware,NTAG-blank,OFW,7,Easy,Low,Ready,NTAG21x blank,Quick,capabilities/nfc-rfid.md
UC-20,NFC-HF,PicoPass / HID iCLASS,Handle legacy iCLASS access cards,Read/write/emulate legacy iCLASS via PicoPass (not SE/SEOS),Hardware,None,OFW,6,Medium,Medium,Ready,None,Quick,capabilities/nfc-rfid.md
